,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
155,Singapore,SGP,LatAm,54268.148,0.92400002,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,NaN,False
143,Russia,RUS,NorthAfrica,19063.689,0.80500001,143.4290008544922,4.5,3.476519107818604,3.861330032348633,NaN,False
103,Malawi,MWI,SouthEastAsia,938.34998,0.47299999,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563,False
60,Djibouti,DJI,SouthEastAsia,2685.5,0.47,NaN,5.800000190734863,NaN,NaN,NaN,True
50,Dominican Republic,DOM,SubSaharian,10376.63,0.71799999,NaN,7.599999904632568,2.636394500732422,NaN,65.45761108398438,False
26,Burundi,BDI,SouthEastAsia,663.57001,0.40599999,NaN,6.800000190734863,2.595248937606812,5.416419982910156,24.94817924499512,False
159,Somalia,SOM,SouthEastAsia,1436.74,NaN,NaN,9.199999809265137,NaN,NaN,NaN,True
173,Tonga,TON,Pacific,3962.0601,0.71799999,0.1040000021457672,NaN,NaN,NaN,75.42909240722656,True
133,Papua New Guinea,PNG,Pacific,1693.54,0.51499999,6.880000114440918,7.099999904632568,NaN,NaN,NaN,True
9,Austria,AUT,SouthAsia,38868.039,0.89200002,8.543999671936035,1.5,4.492074966430664,5.499549865722656,NaN,False
89,"Korea, North",PRK,EastEurope,1727.8199,NaN,NaN,4.199999809265137,NaN,NaN,76.20372772216797,True
39,Comoros,COM,SouthEastAsia,972.35999,0.498,0.7760000228881836,7.800000190734863,NaN,4.868619918823242,43.93447113037109,True
97,Liberia,LBR,SouthEastAsia,488.26999,0.42699999,NaN,6.599999904632568,3.472222328186035,2.757560014724731,NaN,False
